trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2024-10-08 11:35:00+00:00,2024-10-08 11:35:00+00:00,2604.534,2606.04275,2600.76212,1.33,2607.095,SL,ENTRY,-349.92,-1.744,150.87500000001745,2024-10-08 11:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.0,1.697
2,SELL,2024-10-09 10:31:00+00:00,2024-10-09 10:32:00+00:00,2605.888,2607.39675,2602.11612,1.28,2608.175,SL,ENTRY,-301.7,-1.562,150.87500000001745,2024-10-09 10:30:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,0.466,1.516
3,SELL,2024-11-12 08:03:00+00:00,2024-11-12 08:03:00+00:00,2605.355,2606.86375,2601.58312,1.24,2607.065,SL,ENTRY,-220.72,-1.18,150.87500000001745,2024-11-12 08:02:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.166,1.133
4,SELL,2024-11-12 10:07:00+00:00,2024-11-12 10:07:00+00:00,2605.435,2606.94375,2601.66312,1.21,2607.545,SL,ENTRY,-263.78,-1.445,150.87500000001745,2024-11-12 10:06:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.219,1.399
5,SELL,2024-11-12 10:26:00+00:00,2024-11-12 10:35:00+00:00,2605.318,2606.82675,2601.54612,1.17,2601.74612,FULL_EXIT,TRAILING,322.21,1.825,150.87500000001745,2024-11-12 10:25:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.779,0.416
6,SELL,2024-11-12 10:35:00+00:00,2024-11-12 10:39:00+00:00,2601.785,2603.29375,2598.01312,1.17,2600.045,TRAIL_SL,TRAILING,214.13,1.213,150.87500000001745,2024-11-12 10:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.154,0.099
7,SELL,2024-11-12 10:47:00+00:00,2024-11-12 10:49:00+00:00,2601.325,2602.83375,2597.55312,1.25,2601.808,TRAIL_SL,BREAKEVEN,-69.13,-0.367,150.87500000001745,2024-11-12 10:46:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.114,0.32
9,SELL,2024-11-12 10:51:00+00:00,2024-11-12 10:52:00+00:00,2599.145,2600.65375,2595.37312,1.24,2599.195,TRAIL_SL,BREAKEVEN,-14.88,-0.08,150.87500000001745,2024-11-12 10:50:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.014,0.55
8,SELL,2024-11-12 10:50:00+00:00,2024-11-12 10:55:00+00:00,2599.585,2601.09375,2595.81312,1.24,2600.165,TRAIL_SL,BREAKEVEN,-80.6,-0.431,150.87500000001745,2024-11-12 10:49:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.456,0.384
10,SELL,2024-11-12 10:58:00+00:00,2024-11-12 11:00:00+00:00,2599.545,2601.05375,2595.77312,1.22,2600.455,TRAIL_SL,BREAKEVEN,-119.56,-0.65,150.87500000001745,2024-11-12 10:57:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.186,0.603
