trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2024-10-01 08:53:00+00:00,2024-10-01 08:59:00+00:00,2653.074,2653.97925,2650.81087,2.21,2651.01087,FULL_EXIT,TRAILING,340.9,1.704,90.52500000001048,2024-10-01 08:52:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.727,0.192
2,SELL,2024-10-01 10:38:00+00:00,2024-10-01 10:38:00+00:00,2661.614,2662.51925,2659.35087,2.28,2661.985,TRAIL_SL,BREAKEVEN,-100.55,-0.487,90.52500000001048,2024-10-01 10:37:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.015,0.41
3,SELL,2024-10-01 10:51:00+00:00,2024-10-01 10:52:00+00:00,2660.965,2661.87025,2658.70187,2.26,2662.455,SL,ENTRY,-352.56,-1.723,90.52500000001048,2024-10-01 10:50:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.63,1.646
4,SELL,2024-10-01 15:14:00+00:00,2024-10-01 15:19:00+00:00,2661.918,2662.82325,2659.65487,2.18,2663.075,SL,ENTRY,-267.49,-1.355,90.52500000001048,2024-10-01 15:13:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Tuesday,0.931,1.278
5,SELL,2024-10-01 15:58:00+00:00,2024-10-01 16:16:00+00:00,2658.958,2659.86325,2656.69487,2.13,2659.055,TRAIL_SL,BREAKEVEN,-35.57,-0.184,90.52500000001048,2024-10-01 15:57:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Tuesday,1.329,0.475
6,SELL,2024-10-01 16:27:00+00:00,2024-10-01 16:39:00+00:00,2659.208,2660.11325,2656.94487,2.12,2660.458,SL,ENTRY,-279.84,-1.458,90.52500000001048,2024-10-01 16:26:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Tuesday,0.0,1.381
7,SELL,2024-10-01 18:47:00+00:00,2024-10-01 19:27:00+00:00,2661.895,2662.80025,2659.63187,2.06,2660.994,TRAIL_SL,TRAILING,197.64,1.06,90.52500000001048,2024-10-01 18:46:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,2.121,0.188
8,SELL,2024-10-01 19:17:00+00:00,2024-10-01 19:31:00+00:00,2661.205,2662.11025,2658.94187,2.06,2661.265,TRAIL_SL,BREAKEVEN,-26.78,-0.144,90.52500000001048,2024-10-01 19:16:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,1.359,0.177
9,SELL,2024-10-01 19:46:00+00:00,2024-10-01 20:00:00+00:00,2660.495,2661.40025,2658.23187,2.09,2660.518,TRAIL_SL,BREAKEVEN,-19.44,-0.103,90.52500000001048,2024-10-01 19:45:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,1.038,0.563
10,SELL,2024-10-01 20:34:00+00:00,2024-10-01 20:59:00+00:00,2658.655,2659.56025,2656.39187,2.09,2657.405,TRAIL_SL,TRAILING,237.04,1.253,90.52500000001048,2024-10-01 20:33:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,2.022,0.109
