trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2024-10-01 08:09:00+00:00,2024-10-01 08:12:00+00:00,2653.205,2654.412,2650.1875,1.66,2654.665,SL,ENTRY,-253.98,-1.268,120.70000000001397,2024-10-01 08:08:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.282,1.21
2,SELL,2024-10-01 08:10:00+00:00,2024-10-01 08:12:00+00:00,2653.325,2654.532,2650.3075,1.66,2654.665,SL,ENTRY,-234.06,-1.168,120.70000000001397,2024-10-01 08:09:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.381,1.11
3,SELL,2024-10-01 08:12:00+00:00,2024-10-01 08:18:00+00:00,2653.965,2655.172,2650.9475,1.66,2655.255,SL,ENTRY,-225.76,-1.127,120.70000000001397,2024-10-01 08:11:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.423,1.069
4,SELL,2024-10-01 08:13:00+00:00,2024-10-01 08:18:00+00:00,2654.035,2655.242,2651.0175,1.58,2655.255,SL,ENTRY,-203.82,-1.069,120.70000000001397,2024-10-01 08:12:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.481,1.011
5,SELL,2024-10-01 08:14:00+00:00,2024-10-01 08:24:00+00:00,2654.475,2655.682,2651.4575,1.58,2656.178,SL,ENTRY,-280.13,-1.469,120.70000000001397,2024-10-01 08:13:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.845,1.411
6,BUY,2024-10-01 08:58:00+00:00,2024-10-01 08:59:00+00:00,2651.914,2650.707,2654.9315,1.46,2650.605,SL,ENTRY,-201.33,-1.143,120.70000000001397,2024-10-01 08:57:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.341,1.085
7,BUY,2024-10-01 08:59:00+00:00,2024-10-01 08:59:00+00:00,2651.908,2650.701,2654.9255,1.46,2650.605,SL,ENTRY,-200.46,-1.138,120.70000000001397,2024-10-01 08:58:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.041,1.08
8,BUY,2024-10-01 09:00:00+00:00,2024-10-01 09:02:00+00:00,2651.685,2650.478,2654.7025,1.39,2650.085,SL,ENTRY,-232.13,-1.384,120.70000000001397,2024-10-01 08:59:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.149,1.326
9,BUY,2024-10-01 09:01:00+00:00,2024-10-01 09:05:00+00:00,2650.985,2649.778,2654.0025,1.39,2649.735,SL,ENTRY,-183.48,-1.094,120.70000000001397,2024-10-01 09:00:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.729,1.036
10,BUY,2024-10-01 09:06:00+00:00,2024-10-01 09:08:00+00:00,2650.215,2649.008,2653.2325,1.32,2648.695,SL,ENTRY,-209.88,-1.317,120.70000000001397,2024-10-01 09:05:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.447,1.259
11,BUY,2024-10-01 09:07:00+00:00,2024-10-01 09:09:00+00:00,2649.855,2648.648,2652.8725,1.32,2647.865,SL,ENTRY,-271.92,-1.707,120.70000000001397,2024-10-01 09:06:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.323,1.649
12,BUY,2024-10-01 09:09:00+00:00,2024-10-01 09:09:00+00:00,2649.115,2647.908,2652.1325,1.29,2647.865,SL,ENTRY,-170.28,-1.094,120.70000000001397,2024-10-01 09:08:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,0.0,1.036
13,BUY,2024-10-01 09:10:00+00:00,2024-10-01 09:10:00+00:00,2648.365,2647.158,2651.3825,1.22,2647.975,TRAIL_SL,PARTIAL_CLOSED,65.91,0.448,120.70000000001397,2024-10-01 09:09:00+00:00,BEARISH,BEARISH,BEARISH,COUNTER_TREND,LONDON,Tuesday,1.897,0.323
14,SELL,2024-10-01 09:25:00+00:00,2024-10-01 09:29:00+00:00,2652.465,2653.672,2649.4475,1.23,2653.985,SL,ENTRY,-195.57,-1.317,120.70000000001397,2024-10-01 09:24:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.762,1.259
17,SELL,2024-10-01 09:30:00+00:00,2024-10-01 09:30:00+00:00,2653.845,2655.052,2650.8275,1.19,2654.155,TRAIL_SL,BREAKEVEN,-45.22,-0.315,120.70000000001397,2024-10-01 09:29:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.201,0.257
15,SELL,2024-10-01 09:28:00+00:00,2024-10-01 09:32:00+00:00,2652.965,2654.172,2649.9475,1.23,2657.085,SL,ENTRY,-515.37,-3.471,120.70000000001397,2024-10-01 09:27:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.472,3.413
16,SELL,2024-10-01 09:29:00+00:00,2024-10-01 09:32:00+00:00,2653.395,2654.602,2650.3775,1.23,2657.085,SL,ENTRY,-462.48,-3.115,120.70000000001397,2024-10-01 09:28:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.829,3.057
18,SELL,2024-10-01 09:33:00+00:00,2024-10-01 09:33:00+00:00,2655.845,2657.052,2652.8275,1.02,2662.015,SL,ENTRY,-636.48,-5.17,120.70000000001397,2024-10-01 09:32:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.0,5.112
19,SELL,2024-10-01 09:34:00+00:00,2024-10-01 09:34:00+00:00,2661.515,2662.722,2658.4975,0.92,2665.415,SL,ENTRY,-365.24,-3.289,120.70000000001397,2024-10-01 09:33:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.0,3.231
20,SELL,2024-10-01 09:35:00+00:00,2024-10-01 09:35:00+00:00,2663.185,2664.392,2660.1675,0.86,2666.148,TRAIL_SL,PARTIAL_CLOSED,-64.18,-0.618,120.70000000001397,2024-10-01 09:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.674,2.455
