trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2024-10-08 11:35:00+00:00,2024-10-08 11:35:00+00:00,2604.534,2605.43925,2602.27087,2.21,2607.095,SL,ENTRY,-581.45,-2.906,90.52500000001048,2024-10-08 11:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.0,2.829
2,SELL,2024-10-09 10:31:00+00:00,2024-10-09 10:31:00+00:00,2605.888,2606.79325,2603.62487,2.08,2606.875,SL,ENTRY,-219.86,-1.168,90.52500000001048,2024-10-09 10:30:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,0.777,1.09
3,SELL,2024-11-12 08:03:00+00:00,2024-11-12 08:03:00+00:00,2605.355,2606.26025,2603.09187,2.03,2607.065,SL,ENTRY,-361.34,-1.966,90.52500000001048,2024-11-12 08:02:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.276,1.889
4,SELL,2024-11-12 10:07:00+00:00,2024-11-12 10:07:00+00:00,2605.435,2606.34025,2603.17187,1.95,2607.545,SL,ENTRY,-425.1,-2.408,90.52500000001048,2024-11-12 10:06:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.365,2.331
5,SELL,2024-11-12 10:26:00+00:00,2024-11-12 10:27:00+00:00,2605.318,2606.22325,2603.05487,1.86,2605.935,TRAIL_SL,PARTIAL_CLOSED,37.28,0.221,90.52500000001048,2024-11-12 10:25:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.657,0.693
6,SELL,2024-11-12 10:35:00+00:00,2024-11-12 10:36:00+00:00,2601.785,2602.69025,2599.52187,1.87,2601.255,TRAIL_SL,TRAILING,145.04,0.857,90.52500000001048,2024-11-12 10:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.096,0.166
7,SELL,2024-11-12 10:47:00+00:00,2024-11-12 10:47:00+00:00,2601.325,2602.23025,2599.06187,1.9,2601.375,TRAIL_SL,BREAKEVEN,-22.8,-0.133,90.52500000001048,2024-11-12 10:46:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.094,0.055
8,SELL,2024-11-12 10:50:00+00:00,2024-11-12 10:52:00+00:00,2599.585,2600.49025,2597.32187,1.89,2599.195,TRAIL_SL,TRAILING,132.66,0.775,90.52500000001048,2024-11-12 10:49:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.176,0.63
9,SELL,2024-11-12 10:51:00+00:00,2024-11-12 10:52:00+00:00,2599.145,2600.05025,2596.88187,1.89,2599.195,TRAIL_SL,PARTIAL_CLOSED,90.86,0.531,90.52500000001048,2024-11-12 10:50:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.69,0.917
10,SELL,2024-11-12 10:58:00+00:00,2024-11-12 10:58:00+00:00,2599.545,2600.45025,2597.28187,1.94,2599.595,TRAIL_SL,PARTIAL_CLOSED,93.88,0.535,90.52500000001048,2024-11-12 10:57:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,1.646,0.055
