trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2024-10-01 08:53:00+00:00,2024-10-01 08:59:00+00:00,2653.074,2654.281,2650.0565,1.66,2651.958,TRAIL_SL,TRAILING,214.68,1.071,120.70000000001397,2024-10-01 08:52:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,2.046,0.144
2,SELL,2024-10-01 10:38:00+00:00,2024-10-01 10:42:00+00:00,2661.614,2662.821,2658.5965,1.69,2663.565,SL,ENTRY,-341.55,-1.674,120.70000000001397,2024-10-01 10:37:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.891,1.616
3,SELL,2024-10-01 10:51:00+00:00,2024-10-01 10:52:00+00:00,2660.965,2662.172,2657.9475,1.64,2662.455,SL,ENTRY,-255.84,-1.292,120.70000000001397,2024-10-01 10:50:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Tuesday,0.472,1.234
4,SELL,2024-10-01 15:14:00+00:00,2024-10-01 15:20:00+00:00,2661.918,2663.125,2658.9005,1.59,2663.168,SL,ENTRY,-209.88,-1.094,120.70000000001397,2024-10-01 15:13:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Tuesday,0.698,1.036
5,SELL,2024-10-01 15:58:00+00:00,2024-10-01 16:39:00+00:00,2658.958,2660.165,2655.9405,1.56,2660.458,SL,ENTRY,-244.92,-1.301,120.70000000001397,2024-10-01 15:57:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Tuesday,0.997,1.243
7,SELL,2024-10-01 19:17:00+00:00,2024-10-01 19:31:00+00:00,2661.205,2662.412,2658.1875,1.52,2661.265,TRAIL_SL,BREAKEVEN,-19.76,-0.108,120.70000000001397,2024-10-01 19:16:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,1.019,0.133
6,SELL,2024-10-01 18:47:00+00:00,2024-10-01 20:06:00+00:00,2661.895,2663.102,2658.8775,1.52,2659.0775,FULL_EXIT,TRAILING,325.89,1.776,120.70000000001397,2024-10-01 18:46:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,3.082,0.141
8,SELL,2024-10-01 19:46:00+00:00,2024-10-01 20:16:00+00:00,2660.495,2661.702,2657.4775,1.51,2658.698,TRAIL_SL,TRAILING,246.6,1.353,120.70000000001397,2024-10-01 19:45:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,2.104,0.423
9,SELL,2024-10-01 20:34:00+00:00,2024-10-01 21:09:00+00:00,2658.655,2659.862,2655.6375,1.61,2658.615,TRAIL_SL,PARTIAL_CLOSED,122.38,0.63,120.70000000001397,2024-10-01 20:33:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Tuesday,1.516,0.082
10,SELL,2024-10-02 08:17:00+00:00,2024-10-02 08:19:00+00:00,2646.375,2647.582,2643.3575,1.63,2648.405,SL,ENTRY,-342.3,-1.74,120.70000000001397,2024-10-02 08:16:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,0.323,1.682
11,SELL,2024-10-02 08:29:00+00:00,2024-10-02 08:29:00+00:00,2644.405,2645.612,2641.3875,1.57,2645.955,SL,ENTRY,-254.34,-1.342,120.70000000001397,2024-10-02 08:28:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,0.627,1.284
12,SELL,2024-10-02 08:45:00+00:00,2024-10-02 08:46:00+00:00,2649.314,2650.521,2646.2965,1.53,2649.435,TRAIL_SL,BREAKEVEN,-29.22,-0.158,120.70000000001397,2024-10-02 08:44:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,1.159,0.639
13,SELL,2024-10-02 10:48:00+00:00,2024-10-02 10:53:00+00:00,2652.478,2653.685,2649.4605,1.53,2652.895,TRAIL_SL,BREAKEVEN,-74.51,-0.403,120.70000000001397,2024-10-02 10:47:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,1.071,0.511
14,SELL,2024-10-02 11:42:00+00:00,2024-10-02 11:44:00+00:00,2647.645,2648.852,2644.6275,1.51,2649.775,SL,ENTRY,-332.2,-1.823,120.70000000001397,2024-10-02 11:41:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Wednesday,0.05,1.765
15,SELL,2024-10-02 18:00:00+00:00,2024-10-02 18:00:00+00:00,2657.985,2659.192,2654.9675,1.46,2659.248,SL,ENTRY,-194.62,-1.104,120.70000000001397,2024-10-02 16:59:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Wednesday,0.097,1.046
16,SELL,2024-10-02 18:29:00+00:00,2024-10-02 18:39:00+00:00,2658.925,2660.132,2655.9075,1.43,2660.195,SL,ENTRY,-191.62,-1.11,120.70000000001397,2024-10-02 18:28:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Wednesday,0.099,1.052
17,SELL,2024-10-02 20:48:00+00:00,2024-10-02 21:16:00+00:00,2657.865,2659.072,2654.8475,1.39,2658.445,TRAIL_SL,BREAKEVEN,-90.35,-0.539,120.70000000001397,2024-10-02 20:47:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,NEW_YORK,Wednesday,1.069,0.481
18,SELL,2024-10-03 08:35:00+00:00,2024-10-03 08:36:00+00:00,2647.938,2649.145,2644.9205,1.38,2649.875,SL,ENTRY,-276.97,-1.663,120.70000000001397,2024-10-03 08:34:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Thursday,0.947,1.605
19,SELL,2024-10-03 10:41:00+00:00,2024-10-03 10:46:00+00:00,2648.045,2649.252,2645.0275,1.33,2648.235,TRAIL_SL,PARTIAL_CLOSED,86.05,0.536,120.70000000001397,2024-10-03 10:40:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Thursday,1.69,0.414
20,SELL,2024-10-03 11:58:00+00:00,2024-10-03 12:03:00+00:00,2648.085,2649.292,2645.0675,1.35,2650.305,SL,ENTRY,-309.15,-1.897,120.70000000001397,2024-10-03 11:57:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,LONDON,Thursday,0.08,1.839
21,SELL,2024-10-03 13:30:00+00:00,2024-10-03 13:31:00+00:00,2658.828,2660.035,2655.8105,1.3,2660.135,SL,ENTRY,-179.01,-1.141,120.70000000001397,2024-10-03 13:29:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Thursday,0.0,1.083
22,SELL,2024-10-03 14:05:00+00:00,2024-10-03 14:08:00+00:00,2655.645,2656.852,2652.6275,1.27,2656.918,SL,ENTRY,-170.56,-1.113,120.70000000001397,2024-10-03 14:04:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Thursday,0.058,1.055
23,SELL,2024-10-03 15:31:00+00:00,2024-10-03 18:00:00+00:00,2657.998,2659.205,2654.9805,1.24,2655.1805,FULL_EXIT,TRAILING,265.86,1.776,120.70000000001397,2024-10-03 15:30:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Thursday,2.585,0.837
24,SELL,2024-10-03 15:47:00+00:00,2024-10-03 18:00:00+00:00,2657.358,2658.565,2654.3405,1.24,2656.998,TRAIL_SL,TRAILING,113.49,0.758,120.70000000001397,2024-10-03 15:46:00+00:00,BEARISH,BEARISH,BEARISH,ALIGNED,OVERLAP,Thursday,2.055,0.942
