trade_id,action,open_time,close_time,entry_price,initial_sl,tp,lot_size,close_price,close_reason,stage_at_close,pnl_usd,r_multiple,initial_risk_points,signal_time,h1_bias,h4_bias,integrated_bias,bias_alignment,session_label,day_of_week,mfe_r,mae_r
1,SELL,2025-12-29 08:18:00+00:00,2025-12-29 08:28:00+00:00,4504.2,4509.66536,4490.53661,0.37,4490.73661,FULL_EXIT,TRAILING,397.18,1.964,546.535714285707,2025-12-29 08:17:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,2.699,0.309
2,SELL,2025-12-29 08:40:00+00:00,2025-12-29 08:51:00+00:00,4489.55,4495.01536,4475.88661,0.38,4481.65,TRAIL_SL,TRAILING,299.4,1.442,546.535714285707,2025-12-29 08:39:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,2.379,0.668
3,SELL,2025-12-29 10:01:00+00:00,2025-12-29 10:01:00+00:00,4474.9,4480.36536,4461.23661,0.39,4475.58,TRAIL_SL,BREAKEVEN,-29.25,-0.137,546.535714285707,2025-12-29 10:00:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,1.42,0.124
4,SELL,2025-12-29 11:33:00+00:00,2025-12-29 11:43:00+00:00,4463.36,4468.82536,4449.69661,0.39,4469.73,SL,ENTRY,-251.16,-1.178,546.535714285707,2025-12-29 11:32:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,0.569,1.166
6,BUY,2025-12-29 12:02:00+00:00,2025-12-29 12:20:00+00:00,4473.77,4468.30464,4487.43339,0.38,4467.77,SL,ENTRY,-230.66,-1.111,546.535714285707,2025-12-29 12:01:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,0.17,1.098
5,BUY,2025-12-29 11:41:00+00:00,2025-12-29 12:24:00+00:00,4466.69,4461.22464,4480.35339,0.39,4465.92,TRAIL_SL,PARTIAL_CLOSED,142.6,0.669,546.535714285707,2025-12-29 11:40:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,LONDON,Monday,1.746,0.141
7,SELL,2025-12-29 13:56:00+00:00,2025-12-29 14:07:00+00:00,4446.76,4452.22536,4433.09661,0.38,4455.31,SL,ENTRY,-327.56,-1.577,546.535714285707,2025-12-29 13:55:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,OVERLAP,Monday,0.924,1.564
8,BUY,2025-12-29 14:19:00+00:00,2025-12-29 15:10:00+00:00,4455.67,4450.20464,4469.33339,0.37,4463.11,TRAIL_SL,TRAILING,282.73,1.398,546.535714285707,2025-12-29 14:18:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,OVERLAP,Monday,2.168,0.65
9,BUY,2025-12-29 14:55:00+00:00,2025-12-29 15:12:00+00:00,4464.36,4458.89464,4478.02339,0.37,4457.13,SL,ENTRY,-270.1,-1.336,546.535714285707,2025-12-29 14:54:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,OVERLAP,Monday,0.578,1.323
10,BUY,2025-12-29 15:07:00+00:00,2025-12-29 15:12:00+00:00,4463.88,4458.41464,4477.54339,0.37,4457.13,SL,ENTRY,-252.34,-1.248,546.535714285707,2025-12-29 15:06:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,OVERLAP,Monday,0.666,1.235
11,SELL,2025-12-29 16:03:00+00:00,2025-12-29 16:03:00+00:00,4406.27,4411.73536,4392.60661,0.36,4406.32,TRAIL_SL,BREAKEVEN,-4.32,-0.022,546.535714285707,2025-12-29 16:02:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,OVERLAP,Monday,1.078,0.009
12,SELL,2025-12-29 17:18:00+00:00,2025-12-29 17:20:00+00:00,4333.29,4338.75536,4319.62661,0.36,4333.52,TRAIL_SL,PARTIAL_CLOSED,137.3,0.698,546.535714285707,2025-12-29 17:17:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,NEW_YORK,Monday,1.619,0.714
13,BUY,2025-12-29 18:02:00+00:00,2025-12-29 18:05:00+00:00,4333.01,4327.54464,4346.67339,0.36,4330.48,TRAIL_SL,BREAKEVEN,-93.6,-0.476,546.535714285707,2025-12-29 18:01:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,NEW_YORK,Monday,1.037,0.463
14,SELL,2025-12-29 18:17:00+00:00,2025-12-29 18:20:00+00:00,4325.13,4330.59536,4311.46661,0.36,4331.4,SL,ENTRY,-228.24,-1.16,546.535714285707,2025-12-29 18:16:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,NEW_YORK,Monday,0.154,1.147
15,SELL,2025-12-29 18:44:00+00:00,2025-12-29 18:46:00+00:00,4333.43,4338.89536,4319.76661,0.35,4339.14,SL,ENTRY,-202.3,-1.058,546.535714285707,2025-12-29 18:43:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,NEW_YORK,Monday,0.0,1.045
16,SELL,2025-12-29 19:38:00+00:00,2025-12-29 19:38:00+00:00,4323.23,4328.69536,4309.56661,0.34,4324.87,TRAIL_SL,BREAKEVEN,-58.14,-0.313,546.535714285707,2025-12-29 19:37:00+00:00,BULLISH,NO_CONFLUENCE,NO_CONFLUENCE,NO_CONFLUENCE,NEW_YORK,Monday,1.27,0.3
